pcd7,pcd8,pcds,dointr,doterm,usrtypind,east1m,north1m,gridind,oa21cd,cty25cd,ced25cd,lad25cd,wd25cd,nhser24cd,ctry25cd,rgn25cd,pcon24cd,ttwa15cd,itl25cd,npark16cd,lsoa21cd,msoa21cd,wz11cd,sicbl26cd,bua24cd,ruc21ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,icb26cd,ttwa_name
CO9 3PN,CO9  3PN,CO9 3PN,200112,200508,0,578287,233824,1,E00108703,E10000012,E58000439,E07000067,E05010378,E40000013,E92000001,E12000006,E14001121,E30000188,E07000067,E65000001,E01021397,E02004448,E33026287,E38000106,E63011054,RLF1,1C2,51.974292,0.594293,E37000056,,E23000028,26174,E54000066,Chelmsford
NG349EX,NG34 9EX,NG34 9EX,198001,,0,507889,351325,1,E00133159,E10000019,E58000933,E07000139,E05014440,E40000011,E92000001,E12000004,E14001476,E30000231,E07000139,E65000001,E01026223,E02005460,E33016835,E38000238,E63008966,RLN1,1A4,53.048335,-0.392003,E37000060,,E23000020,27035,E54000013,Lincoln
M46 0GB,M46  0GB,M46 0GB,199405,,0,366068,402988,1,E00031629,E11000001,E99999999,E08000010,E05014994,E40000014,E92000001,E12000002,E14001329,E30000239,E08000010,E65000001,E01006243,E02001309,E33006077,E38000205,E63008308,UN1,8B1,53.522473,-2.513271,E37000015,,E23000005,23185,E54000057,Manchester
HP5 1HS,HP5  1HS,HP5 1HS,198001,,0,495892,201514,1,E00178434,E99999999,E99999999,E06000060,E05015946,E40000005,E92000001,E12000008,E14001162,E30000218,E06000060,E65000001,E01017792,E02003679,E33037633,E38000223,E63011668,UN1,5A3,51.704188,-0.613701,E37000043,,E23000029,21085,E54000070,High Wycombe and Aylesbury
UB7 9NE,UB7  9NE,UB7 9NE,198504,198812,1,509700,179300,8,E00184438,E13000002,E99999999,E09000017,E05013569,E40000003,E92000001,E12000007,E14001276,E30000266,E09000017,E65000001,E01034616,E02000523,E33032160,E38000256,E63012034,UN1,3B1,51.502001,-0.420903,E37000051,,E23000001,11705,E54000071,Slough and Heathrow
SR8 4DZ,SR8  4DZ,SR8 4DZ,201412,,0,444380,541416,1,E00105378,E99999999,E99999999,E06000047,E05016179,E40000012,E92000001,E12000001,E14001211,E30000275,E06000047,E65000001,E01020767,E02004327,E33001894,E38000234,E63007289,UN1,8C3,54.76573,-1.311787,E37000025,,E23000008,569,E54000050,Sunderland
TS103DN,TS10 3DN,TS10 3DN,198001,,0,460509,525150,1,E00061027,E99999999,E99999999,E06000003,E05012439,E40000012,E92000001,E12000001,E14001440,E30000093,E06000003,E65000001,E01012102,E02002515,E33000318,E38000247,E63007382,UN1,5B3,54.617896,-1.064511,E37000034,,E23000013,3056,E54000050,Middlesbrough and Stockton
L18 1EN,L18  1EN,L18 1EN,198001,,0,339007,387972,1,E00033425,E11000002,E99999999,E08000012,E05015318,E40000014,E92000001,E12000002,E14001337,E30000233,E08000012,E65000001,E01006593,E02001388,E33006388,E38000101,E63008477,UN1,5A3,53.38507,-2.918474,E37000022,,E23000004,13810,E54000008,Liverpool
PO219GX,PO21 9GX,PO21 9GX,201008,201109,1,493770,99105,1,E00184815,E10000032,E58001604,E07000224,E05009813,E40000005,E92000001,E12000008,E14001108,E30000191,E07000224,E65000001,E01031432,E02006558,E33039174,E38000265,E63013769,UN1,2C1,50.783937,-0.671195,E37000044,,E23000033,6306,E54000069,Chichester and Bognor Regis
YO258ST,YO25 8ST,YO25 8ST,198001,,0,517193,455095,1,E00065540,E99999999,E99999999,E06000011,E05001695,E40000012,E92000001,E12000003,E14001127,E30000177,E06000011,E65000001,E01012986,E02002693,E33012894,E38000052,E63007702,RSF1,1B3,53.978658,-0.214524,E37000061,,E23000012,12108,E54000051,Bridlington
